ISIN;DATE;OUVERTURE;PLUSHAUT;PLUSBAS;CLOTURE;VOLUME
FR0000130809;02/05/16;34.355;34.50;33.615;34.12;2435247
FR0000130809;03/05/16;34.215;34.36;32.705;32.83;4905088
FR0000130809;04/05/16;33.65;34.315;33.34;33.38;5837989
FR0000130809;05/05/16;33.65;33.70;32.455;32.60;4116876
FR0000130809;06/05/16;32.40;32.99;31.715;32.86;4382875
FR0000130809;09/05/16;33.135;33.575;32.52;32.93;3544681
FR0000130809;10/05/16;33.22;34.01;33.06;33.47;3190411
FR0000130809;11/05/16;33.50;33.64;32.70;33.00;3545706
FR0000130809;12/05/16;32.80;33.495;32.405;32.695;3315804
FR0000130809;13/05/16;32.585;33.67;32.26;33.395;3940404
FR0000130809;16/05/16;33.11;33.425;32.86;33.28;1703068
FR0000130809;17/05/16;33.50;34.48;33.265;33.55;4478359
FR0000130809;18/05/16;33.41;34.11;33.095;34.02;3271619
FR0000130809;19/05/16;34.20;35.055;33.885;34.465;4820636
FR0000130809;20/05/16;34.985;35.14;34.47;34.675;4225016
FR0000130809;23/05/16;34.625;35.175;34.13;34.785;2958004
FR0000130809;24/05/16;34.65;36.80;34.505;36.665;6497384
FR0000130809;25/05/16;35.27;36.71;34.86;36.71;7921026
FR0000130809;26/05/16;36.50;37.145;36.115;36.985;5400007
FR0000130809;27/05/16;36.845;37.28;36.525;36.95;3428714
FR0000130809;30/05/16;36.965;37.365;36.84;37.31;1524601
FR0000130809;31/05/16;37.46;37.60;36.75;36.99;5924188
FR0000130809;01/06/16;36.80;37.065;35.93;36.16;4510352
FR0000130809;02/06/16;36.19;37.045;35.885;36.225;3752635
FR0000130809;03/06/16;36.07;36.66;35.21;35.61;4700347
FR0000130809;06/06/16;35.45;36.125;35.14;35.365;2581913
FR0000130809;07/06/16;35.725;36.315;35.525;35.72;3625964
FR0000130809;08/06/16;35.575;35.65;34.755;34.94;4018631
FR0000130809;09/06/16;34.805;34.84;34.175;34.205;3179573
FR0000130809;10/06/16;34.00;34.045;32.615;32.675;4834515
FR0000130809;13/06/16;32.21;32.49;31.495;31.59;4492412
FR0000130809;14/06/16;31.20;31.60;30.675;30.75;4812273
FR0000130809;15/06/16;31.26;31.97;31.00;31.33;5847573
FR0000130809;16/06/16;30.785;31.065;30.305;30.845;4779100
FR0000130809;17/06/16;31.385;33.025;31.31;32.87;10798563
FR0000130809;20/06/16;33.97;34.365;33.61;33.80;5615713
FR0000130809;21/06/16;33.87;34.39;33.70;34.165;3433230
FR0000130809;22/06/16;34.40;34.90;33.945;34.485;3489953
FR0000130809;23/06/16;34.63;36.33;34.495;36.26;6972546
FR0000130809;24/06/16;27.50;32.98;25.00;28.80;27050059
FR0000130809;27/06/16;29.38;29.50;25.725;26.385;16063137
FR0000130809;28/06/16;27.17;27.56;26.81;26.95;11762558
FR0000130809;29/06/16;27.635;28.13;27.425;27.91;7513346
FR0000130809;30/06/16;27.935;28.48;27.30;28.21;7148647
FR0000130809;01/07/16;28.555;28.825;27.91;28.38;4839738
FR0000130809;04/07/16;28.48;28.485;27.58;27.795;4047151
FR0000130809;05/07/16;27.375;27.775;26.585;26.79;6369450
FR0000130809;06/07/16;26.50;27.03;25.955;26.40;6625106
FR0000130809;07/07/16;26.585;27.345;26.485;26.595;5154054
FR0000130809;08/07/16;26.48;28.18;26.315;28.00;6143341
FR0000130809;11/07/16;28.275;28.685;27.765;28.505;4085084
FR0000130809;12/07/16;28.745;29.88;28.565;29.785;5676984
FR0000130809;13/07/16;29.835;30.15;29.10;29.275;4287209
FR0000130809;14/07/16;29.74;30.60;29.53;30.325;4976064
FR0000130809;15/07/16;30.165;30.945;29.97;30.345;4956924
FR0000130809;18/07/16;30.535;31.03;29.735;30.29;3029543
FR0000130809;19/07/16;30.15;30.54;29.285;30.075;3690198
FR0000130809;20/07/16;30.38;30.675;30.035;30.32;3178961
FR0000130809;21/07/16;30.13;30.855;29.925;30.395;4251732
FR0000130809;22/07/16;30.275;30.51;30.02;30.235;3342550
FR0000130809;25/07/16;30.185;30.515;29.88;30.15;2685830
FR0000130809;26/07/16;30.065;30.21;29.41;29.88;2766732
FR0000130809;27/07/16;30.04;30.67;29.965;30.35;3428984
FR0000130809;28/07/16;30.445;30.67;29.67;29.85;3714120
FR0000130809;29/07/16;29.995;30.83;29.85;30.555;4573377
FR0000130809;01/08/16;30.85;31.035;29.035;29.435;6162304
FR0000130809;02/08/16;29.22;29.255;28.025;28.515;6328400
FR0000130809;03/08/16;29.70;29.955;28.855;29.415;7770197
FR0000130809;04/08/16;29.74;30.50;29.73;29.945;4197770
FR0000130809;05/08/16;30.11;30.94;30.095;30.94;3899746
FR0000130809;08/08/16;31.03;31.85;30.98;31.31;3441581
FR0000130809;09/08/16;31.29;31.935;31.205;31.86;3542508
FR0000130809;10/08/16;31.59;32.185;31.555;31.88;3332027
FR0000130809;11/08/16;32.13;32.195;31.71;32.195;2728870
FR0000130809;12/08/16;32.13;32.37;31.98;32.045;2123702
FR0000130809;15/08/16;32.005;32.10;31.69;31.82;2000508
FR0000130809;16/08/16;31.67;31.86;31.20;31.395;3153240
FR0000130809;17/08/16;31.52;31.615;30.71;30.785;3220295
FR0000130809;18/08/16;31.025;31.115;30.42;30.745;2851890
FR0000130809;19/08/16;30.76;30.76;29.62;30.06;3939014
FR0000130809;22/08/16;30.015;30.64;29.91;30.15;2895173
FR0000130809;23/08/16;30.425;31.12;30.325;31.005;4280842
FR0000130809;24/08/16;30.84;32.105;30.64;31.805;4623628
FR0000130809;25/08/16;31.65;31.91;31.305;31.725;2949830
